account_id,signup_date,device_id,ip_address,card_fingerprint,address_id,ring_id,is_ring_member,is_hard_negative,is_evasive_ring
acct_9470d18f43,2025-11-23T06:13:07,dev_9a00d49419,126.219.49.72,card_40e39688fa26,addr_74df3b918e,evasive_ring_010,1,False,True
acct_e63c2d042f,2025-11-25T03:15:57,dev_3bc1e73404,64.136.140.23,card_51a78c5dc223,addr_ccea727ae6,,0,False,False
acct_f6ed422f5f,2025-08-24T09:09:36,dev_ff3b19f36d,90.52.154.100,card_4ff0e3ef6e1b,addr_877dc6577a,,0,False,False
acct_637bfb6b5d,2025-05-27T19:36:25,dev_05fafa7e16,194.228.63.179,card_5a3093019e99,addr_bf8c596a76,,0,False,False
acct_dd3cb30cbd,2025-10-26T20:34:57,dev_95e7881fc7,200.169.23.10,card_e9560b37aea2,addr_a85e559920,,0,False,False
acct_984afa46dc,2026-04-21T08:09:49,dev_95da57085e,3.243.145.220,card_d2bf98740bd3,addr_58ea8750f7,,0,False,False
acct_8fc1fccbaf,2026-01-01T01:37:43,dev_680d3a58ea,12.95.242.200,card_11e24b65ab74,addr_5c7108cb11,,0,False,False
acct_2010d2aed4,2026-03-21T18:42:55,dev_9f855fa822,92.72.181.232,card_9614027738fc,addr_d2384dce48,,0,True,False
acct_3f30ee5a21,2026-05-10T02:22:30,dev_7f3d978424,217.221.112.255,card_0dafe01527f6,addr_a4f0c80644,,0,False,False
acct_c2a235abd2,2025-09-26T15:17:18,dev_60ab6d2f36,178.141.167.230,card_3d0cd5c431c7,addr_60ab0db3fa,,0,False,False
acct_b6b6d59d04,2025-08-03T18:28:47,dev_b6b6930b8d,221.186.2.126,card_5b0b96a528b3,addr_24a7936bc0,,0,False,False
acct_eab66211d8,2025-01-04T08:51:33,dev_e2f8277927,122.131.143.47,card_83330a540ad2,addr_fdf5d84925,,0,False,False
acct_9b73350312,2026-03-21T22:24:52,dev_a0ddd0cfd5,5.103.138.78,card_a1445442e6a4,addr_34d2c1b00f,,0,False,False
acct_0087f2d5bc,2025-08-03T12:45:23,dev_0de0e7b667,193.242.119.218,card_4298eae4768d,addr_65ddd2cf9a,,0,False,False
acct_60809af79d,2026-06-05T06:48:13,dev_3ac3dce8d8,126.54.104.50,card_d50dbdcee02e,addr_1ba712ca75,,0,False,False
acct_fa0f476bcb,2025-06-06T00:50:38,dev_7fac2f5fb8,192.80.72.200,card_791602ddd9fb,addr_edf7bb7ead,,0,False,False
acct_664d26d7f9,2026-02-12T07:15:08,dev_826ccfa81c,133.144.103.224,card_6fb4c61b1b6a,addr_3d9e3f5f1b,,0,False,False
acct_ade39df3c2,2026-05-20T10:39:06,dev_b536a58913,223.84.218.221,card_cf69aecb3ad1,addr_21688da4d8,,0,False,False
acct_edf316fe80,2026-07-13T23:49:12,dev_b628719450,178.141.167.230,card_1e27225dbc35,addr_a1e6f0ca06,,0,False,False
acct_7decdc6699,2025-06-24T03:48:14,dev_d397bb28dc,149.198.170.29,card_52ca42acc495,addr_72206f55fd,,0,False,False
acct_f03efaa9a9,2026-01-11T13:09:24,dev_597917b425,64.82.104.171,card_f602a722e111,addr_8e14b29cfd,,0,False,False
acct_f1e7ef2df4,2025-09-13T00:48:52,dev_66a06a2882,173.165.6.230,card_4486adb7977b,addr_405a84fc00,,0,False,False
acct_8754548314,2026-01-12T11:04:49,dev_c45e916aef,93.128.240.219,card_bbe4bb881030,addr_ddb9a5383f,,0,False,False
acct_e6bbb20aab,2026-01-22T01:45:58,dev_f6e04ddc88,144.50.248.98,card_f863b400848e,addr_13e689d818,,0,False,False
acct_35b3f0e573,2025-04-28T02:05:21,dev_4bf8674234,138.132.199.7,card_7d7c5e6daac0,addr_ec6316ba56,,0,False,False
acct_bd3c586802,2025-08-14T12:44:42,dev_45fdaf2fc8,179.254.147.111,card_2cb4a924e321,addr_19f6069724,,0,False,False
acct_df23f68c83,2025-12-03T04:52:11,dev_9b66386887,58.57.114.51,card_bb280a719afb,addr_b5b1ed21d4,,0,False,False
acct_044827962e,2026-01-20T20:12:43,dev_fdb850871b,40.188.141.124,card_53172d1595c4,addr_88abeeca12,,0,False,False
acct_a9979944bf,2025-05-17T04:47:28,dev_8b5d7162aa,150.129.245.214,card_aab154abe5fa,addr_3e6746ad9e,,0,False,False
acct_06d9b7c5f4,2025-08-18T03:39:02,dev_83b8f96093,146.225.229.103,card_2fe1ae917ad8,addr_ee66eb2aa1,,0,False,False
acct_3158ce77ba,2026-02-23T05:28:21,dev_67de023d73,142.96.131.63,card_61c36e3104b8,addr_4d768940b0,,0,False,False
acct_f130ebc45d,2025-11-01T19:16:19,dev_e4967fe60f,169.227.59.103,card_599cb8aa2564,addr_6166a41375,,0,False,False
