account_id,degree,component_size,edge_density,n_shared_attr_types,n_high_conf_attr_types,ip_only_component,signup_spread_hours,txn_spread_hours,avg_txn_amount,ring_id,is_ring_member,is_hard_negative,is_evasive_ring
acct_9470d18f43,6,7,1.0,2,2,0,44.7575,1152.0,2414.311333333333,evasive_ring_010,1,False,True
acct_e63c2d042f,0,1,0.0,0,0,0,0.0,0.0,3005.7,,0,False,False
acct_f6ed422f5f,2,3,1.0,1,1,0,7512.7375,14136.7375,2569.395,,0,False,False
acct_637bfb6b5d,0,1,0.0,0,0,0,0.0,3144.0,984.484,,0,False,False
acct_dd3cb30cbd,0,1,0.0,0,0,0,0.0,4848.0,2814.65,,0,False,False
acct_984afa46dc,0,1,0.0,0,0,0,0.0,4512.0,1943.7033333333331,,0,False,False
acct_8fc1fccbaf,0,1,0.0,0,0,0,0.0,4224.0,3304.594,,0,False,False
acct_2010d2aed4,0,1,0.0,0,0,0,0.0,5376.0,2397.1400000000003,,0,True,False
acct_3f30ee5a21,0,1,0.0,0,0,0,0.0,2808.0,2834.4750000000004,,0,False,False
acct_c2a235abd2,18,19,1.0,1,0,1,13499.676944444445,18071.27611111111,2814.9192187500003,,0,False,False
acct_b6b6d59d04,0,1,0.0,0,0,0,0.0,5616.0,1881.5049999999999,,0,False,False
acct_eab66211d8,0,1,0.0,0,0,0,0.0,0.0,3843.27,,0,False,False
acct_9b73350312,0,1,0.0,0,0,0,0.0,3480.0,3113.69,,0,False,False
acct_0087f2d5bc,0,1,0.0,0,0,0,0.0,5112.0,2303.15,,0,False,False
acct_60809af79d,0,1,0.0,0,0,0,0.0,0.0,936.97,,0,False,False
acct_fa0f476bcb,0,1,0.0,0,0,0,0.0,3720.0,4182.5225,,0,False,False
acct_664d26d7f9,9,10,1.0,1,0,1,10168.773888888889,16906.3425,2310.668571428572,,0,False,False
acct_ade39df3c2,0,1,0.0,0,0,0,0.0,1848.0,2470.29,,0,False,False
acct_edf316fe80,18,19,1.0,1,0,1,13499.676944444445,18071.27611111111,2814.9192187500003,,0,False,False
acct_7decdc6699,14,15,1.0,1,0,1,9804.264444444445,17412.264444444445,2722.2042857142856,,0,False,False
acct_f03efaa9a9,0,1,0.0,0,0,0,0.0,5568.0,1938.482,,0,False,False
acct_f1e7ef2df4,0,1,0.0,0,0,0,0.0,840.0,2488.2633333333333,,0,False,False
acct_8754548314,0,1,0.0,0,0,0,0.0,4104.0,2219.495,,0,False,False
acct_e6bbb20aab,0,1,0.0,0,0,0,0.0,1032.0,1711.085,,0,False,False
